Name,Description,Values,Section
NACCFAM,Obecność zaburzeń poznawczych u krewnego pierwszego stopnia,"{'0': 'Brak informacji o zaburzeniach poznawczych u krewnego pierwszego stopnia', '1': 'U co najmniej jednego krewnego pierwszego stopnia stwierdzono zaburzenia poznawcze', '9': 'Brak danych'}",Historia Rodziny
NACCMOM,Występowanie zaburzeń poznawczych u matki,"{'0': 'Brak informacji o zaburzeniach poznawczych u matki', '1': 'U matki stwierdzono zaburzenia poznawcze', '9': 'Brak danych'}",Historia Rodziny
NACCDAD,Występowanie zaburzeń poznawczych u ojca,"{'0': 'Brak informacji o zaburzeniach poznawczych u ojca', '1': 'U ojca stwierdzono zaburzenia poznawcze', '9': 'Brak danych'}",Historia Rodziny
NACCFADM,"Czy w rodzinie stwierdzono dziedziczoną dominująco mutację powodującą chorobę Alzheimera?","{'0': 'Nie/Brak danych', '1': 'Tak'}",Historia Rodziny
NACCAM,"Czy w tej rodzinie są dowody na mutację związaną z chorobą Alzheimera (z podanej listy mutacji)?","{'0': 'Nie', '1': 'Tak, APP', '2': 'Tak, PS-1 (PSEN-1)', '3': 'Tak, PS-2 (PSEN-2)', '8': 'Tak, inna ', '9': 'Nie wiadomo czy mutacja istnieje'}",Historia Rodziny
NACCAMS,Źródło dowodów za istnieniem mutacji związanej z choroba Alzheimera,"{'1': 'Wywiad rodzinny (brak dostępnych dokumentacji testów)', '2': 'Dokumentacja testów komercyjnych', '3': 'Dokumentacja testów z badań laboratoryjnych', '8': 'Inne ', '9': 'Brak danych'}",Historia Rodziny
NACCFFTD,"Czy w tej rodzinie są dowody na mutację związaną z otępieniem czołowo-skroniowym?","{'0': 'Nie/Brak danych', '1': 'Tak'}",Historia Rodziny
NACCFM,"Czy w tej rodzinie są dowody na mutację związaną z otępieniem czołowo-skroniowym (z podanej listy mutacji)?","{'0': 'Nie', '1': 'Tak, MAPT', '2': 'Tak, PGRN', '3': 'Tak, C9orf72', '4': 'Tak, FUS', '8': 'Tak, inna ', '9': 'Nie wiadomo czy mutacja istnieje'}",Historia Rodziny
NACCFMS,Źródło dowodów za istnieniem mutacji związanej z otępieniem czołowo-skroniowym,"{'1': 'Wywiad rodzinny (brak dostępnych dokumentacji testów)', '2': 'Dokumentacja testów komercyjnych', '3': 'Dokumentacja testów z badań laboratoryjnych', '8': 'Inne ', '9': 'Brak danych'}",Historia Rodziny
NACCOM,"Czy w tej rodzinie są dowody na mutację związaną z chorobą inną niż choroba Alzheimera i otępienie czołowo-skroniowe?","{'0': 'Nie', '1': 'Tak ', '9': 'Nie wiadomo czy mutacja istnieje'}",Historia Rodziny
NACCOMS,Źródło dowodów za istnieniem innej mutacji,"{'1': 'Wywiad rodzinny (brak dostępnych dokumentacji testów)', '2': 'Dokumentacja testów komercyjnych', '3': 'Dokumentacja testów z badań laboratoryjnych', '8': 'Inne ', '9': 'Brak danych'}",Historia Rodziny
ANYMEDS,Pacjent przyjmuje leki,"{'0': 'Nie', '1': 'Tak'}",Leki
NACCAMD,Liczba wszystkich leków zgłoszonych przy każdej wizycie,{'zakres': '0 - 40'},Leki
NACCAHTN,Zgłoszone aktualne użycie leków na nadciśnienie lub regulację ciśnienia krwi,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCHTNC,Zgłoszone aktualne użycie leków złożonych w terapii nadciśnienia tętniczego,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCACEI,Zgłoszone aktualne użycie inhibitora enzymu konwertującego angiotensynę (ACE),"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCAAAS,Zgłoszone aktualne użycie leków przeciwadrenergicznych,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCBETA,Zgłoszone aktualne użycie leków blokujących receptory beta-adrenergiczne (beta-blokerów),"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCCCBS,Zgłoszone aktualne użycie leków antagonistów wapnia (blokerów kanału wapniowego),"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCDIUR,Zgłoszone aktualne użycie diuretyków,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCVASD,Zgłoszone aktualne użycie leków rozszerzających naczynia krwionośne,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCANGI,Zgłoszone aktualne użycie inhibitorów angiotensyny II,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCLIPL,Zgłoszone aktualne użycie leków zmniejszających poziom lipidów,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCNSD,Zgłoszone aktualne użycie niesteroidowych leków przeciwzapalnych,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCAC,Zgłoszone aktualne użycie leków przeciwkrzepliwych lub przeciwpłytkowych,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCADEP,Zgłoszone aktualne użycie antydepresantów,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCAPSY,Zgłoszone aktualne użycie leków przeciwpsychotycznych,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCAANX,"Zgłoszone aktualne użycie leków przeciwlękowych, sedacyjnych, lub hypnotycznych","{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCADMD,Zgłoszone aktualne użycie leków na symptomy choroby Alzheimera zaaprobowanych przez FDA,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCPDMD,Zgłoszone aktualne użycie leków na chorobę Parkinsona,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCEMD,Zgłoszone aktualne użycie estrogenowej terapii hormonalnej,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCEPMD,Zgłoszone aktualne użycie terapii hormonalnej estrogen + progesteron,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
NACCDBMD,Zgłoszone aktualne użycie leków na cukrzycę,"{'0': 'Nie zgłoszono podczas wizyty', '1': 'Zgłoszono podczas wizyty'}",Leki
TOBAC30,Palenie wyrobów tytoniowych w przeciągu ostatnich 30 dni,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Historia Zdrowia
TOBAC100,Wypalenie wiecej niż 100 wyrobów tytoniowych w życiu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Historia Zdrowia
SMOKYRS,Łączna liczba lat palenia wyrobów tytoniowych,{'zakres': '0 - 87'},Historia Zdrowia
PACKSPER,Średnia liczba opakowań wypalanych dziennie,"{'0': 'Nie zgłoszono użycia wyrobów tytoniowych', '1': '1 papieros do 1/2 opakowania', '2': '1/2 opakowania do mniej niż 1 opakowania', '3': '1 opakowanie do 1.5 opkakowania', '4': '1.5 opakowania do 2 opakowań', '5': 'więcej niż 2 opakowania', '8': 'Nie ma zastosowania', '9': 'Brak danych'}",Historia Zdrowia
QUITSMOK,"Wiek, w którym pacjent rzucił palenie (jeśli rzucił)",{'zakres': '7 - 110'},Historia Zdrowia
ALCOCCAS,"Czy pacjent spożywał alkohol w ciągu ostatnich 3 miesięcy?","{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Historia Zdrowia
ALCFREQ,"W ciągu ostatnich trzech miesięcy, jak często pacjent pił alkohol (wino, piwo, napój słodowy, mocny alkohol)?","{'0': 'Mniej niż raz w miesiącu', '1': 'Około raz w miesiącu', '2': 'Około raz w tygodniu', '3': 'Kilka razy w tygodniu', '4': 'Codzienne lub prawie codziennie', '8': 'Nie ma zastosowania, brak konsumpcji alkoholu w przeciągu ostatnich 3 miesięcy', '9': 'Brak danych'}",Historia Zdrowia
CVHATT,Zawał serca/zatrzymanie akcji serca,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
HATTMULT,Więcej niż jeden zawał serca/zatrzymanie akcji serca?,"{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania, brak wzmianki o zawałach serca', '9': 'Brak danych'}",Historia Zdrowia
HATTYEAR,Rok w którym ostatni raz wystąpił zawał serca,{'zakres': '>= 1900'},Historia Zdrowia
CVAFIB,Migotanie przedsionków,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
CVANGIO,Angioplastyka/endarterektomia/stent,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
CVBYPASS,"Zabieg pomostowania aortalno-wieńcowego (CABG, bypass serca)","{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
CVPACDEF,Rozrusznik serca i/lub defibrylator,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
CVPACE,Rozrusznik serca,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
CVCHF,Zastoinowa niewydolność serca,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
CVANGINA,Angina,"{'0': 'Brak', '1': 'Niedawna/Aktywna', '2': 'Odległa/Nieaktywna', '9': 'Brak danych'}",Historia Zdrowia
CVHVALVE,Zastąpienie lub naprawa zastawki serca,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
CVOTHR,Inna choroba układu krążenia,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
CBSTROKE,Udar,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
STROKMUL,Więcej niż jeden udar wykryty na dzień wizyty wstępnej,"{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania, brak informacji na temat udaru na dzień wizyty wstępnej', '9': 'Brak danych'}",Historia Zdrowia
NACCSTYR,Ostatni zaraportowany rok udaru na dzień wizyty wstępnej,{'zakres': '>= 1900'},Historia Zdrowia
CBTIA,Przejściowy atak niedokrwienny (TIA),"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
TIAMULT,Więcej niż jeden przemijajacy napad niedokrwienia mózgu (TIA) na dzień wizyty wstępnej,"{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania, brak informacji na temat TIA na dzień wizyty wstępnej', '9': 'Brak danych'}",Historia Zdrowia
NACCTIYR,Ostatni zaraportowany rok TIA na dzień wizyty wstępnej,{'zakres': '>= 1900'},Historia Zdrowia
PD,Choroba Parkinsona,"{'0': 'Brak', '1': 'Niedawna/Aktywna', '9': 'Brak danych'}",Historia Zdrowia
PDYR,Rok zdiagnozowania choroby Parkinsona,{'zakres': '>= 1900'},Historia Zdrowia
PDOTHR,Inne choroby parkinsonowe (parkinsonizm objawowy),"{'0': 'Brak', '1': 'Niedawne/Aktywne', '9': 'Brak danych'}",Historia Zdrowia
PDOTHRYR,Rok zdiagnozowania parkinsonizmu objawowego,{'zakres': '>= 1900'},Historia Zdrowia
SEIZURES,Napady padaczkowe,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
TBI,Urazowe uszkodzenie mózgu (TBI),"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
TBIBRIEF,Urazowe uszkodzenie mózgu (TBI) z krótkotrwałą utratą przytomności,"{'0': 'Nie', '1': 'Pojedyncze', '2': 'Powtarzajace się/wielokrotne', '9': 'Brak danych'}",Historia Zdrowia
TRAUMBRF,Uraz mózgu - krótkotrwała utrata przytomności,"{'0': 'Brak', '1': 'Niedawna/Aktywna', '2': 'Odległa/Nieaktywna', '9': 'Brak danych'}",Historia Zdrowia
TBIEXTEN,Urazowe uszkodzenie mózgu (TBI) z wydłużoną utratą przytomności - 5 minut lub dłużej,"{'0': 'Nie', '1': 'Pojedyncze', '2': 'Powtarzajace się/wielokrotne', '9': 'Brak danych'}",Historia Zdrowia
TRAUMEXT,Uraz mózgu - wydłużna utrata przytomności,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
TBIWOLOS,Urazowe uszkodzenie mózgu (TBI) bez utraty przytomności - jakie może wystąpić w przypadku urazu sportowego lub silnego wstrząsu,"{'0': 'Nie', '1': 'Pojedyncze', '2': 'Powtarzajace się/wielokrotne', '9': 'Brak danych'}",Historia Zdrowia
TRAUMCHR,Uraz mózgu - przewlekły deficyt,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
TBIYEAR,Rok ostatniego wystąpienia urazowego uszkodzenia mózgu (TBI),{'zakres': '>= 1900'},Historia Zdrowia
NCOTHR,Inne schorzenia neurologiczne,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
DIABETES,Cukrzyca,"{'0': 'Brak', '1': 'Niedawna/Aktywna', '2': 'Odległa/Nieaktywna', '9': 'Brak danych'}",Historia Zdrowia
DIABTYPE,"Jeżeli cukrzyca jest Niedawna/Aktywna lub Odległa/Nieaktywna, jakiego jest typu?","{'1': 'Typ 1', '2': 'Typ 2', '3': 'Inny typ (moczówka prosta, utajona autoimmunologiczna cukrzyca dorosłych/typ 1.5, cukrzyca ciążowa)', '8': 'Nie ma zastosowania, nie wykryto cukrzycy', '9': 'Brak danych'}",Historia Zdrowia
HYPERTEN,Nadciśnienie tętnicze,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
HYPERCHO,Hipercholesterolemia,"{'0': 'Brak', '1': 'Niedawna/Aktywna', '2': 'Odległa/Nieaktywna', '9': 'Brak danych'}",Historia Zdrowia
B12DEF,Niedobór witaminy B12,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
THYROID,Choroba tarczycy,"{'0': 'Brak', '1': 'Niedawna/Aktywna', '2': 'Odległa/Nieaktywna', '9': 'Brak danych'}",Historia Zdrowia
ARTHRIT,Zapalenie stawów,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
ARTHTYPE,Rodzaj zapalenia stawów,"{'1': 'Reumatoidalne', '2': 'Osteoartroza/Choroba zwyrodnieniowa stawów', '3': 'Inne', '8': 'Nie ma zastosowania, nie wykryto zapalenia stawów', '9': 'Brak danych'}",Historia Zdrowia
ARTHUPEX,"Zapalenie stawów, obszar dotknięty - kończyny górne","{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania, nie wykryto zapalenia stawów'}",Historia Zdrowia
ARTHLOEX,"Zapalenie stawów, obszar dotknięty - kończyny dolne","{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania, nie wykryto zapalenia stawów'}",Historia Zdrowia
ARTHSPIN,"Zapalenie stawów, obszar dotknięty - kręgosłup","{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania, nie wykryto zapalenia stawów'}",Historia Zdrowia
ARTHUNK,"Zapalenie stawów, obszar dotknięty - nieznany","{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania, nie wykryto zapalenia stawów'}",Historia Zdrowia
INCONTU,Nietrzymanie moczu,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
INCONTF,Nietrzymanie kału,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
APNEA,Bezdech senny odnotowany w historii pacjenta na dzień wizyty wstępnej,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
RBD,"Zaburzenia zachowania w czasie snu REM (parasomnia snu REM, RbD) odnotowane w historii pacjenta na dzień wizyty wstępnej","{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
INSOMN,Hiposomnia/bezsenność odnotowana w historii pacjenta na dzień wizyty wstępnej,"{'0': 'Brak', '1': 'Niedawna/Aktywna', '2': 'Odległa/Nieaktywna', '9': 'Brak danych'}",Historia Zdrowia
OTHSLEEP,Inne zaburzenia snu odnotowane w historii pacjenta na dzień wizyty wstępnej,"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
ALCOHOL,"Nadużycie alkoholu - klinicznie istotne trwające ponad 12 miesięcy i ujawniające się w jednym z następujących obszarów: pracy, kierowania pojazdem, cywilno-prawnym, społecznym","{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
ABUSOTHR,"Nadużycie innych substancji - klinicznie istotne trwające ponad 12 miesięcy i ujawniające się w jednym z następujących obszarów: pracy, kierowania pojazdem, cywilno-prawnym, społecznym","{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
PTSD,Zespół stresu pourazowego (PTSD),"{'0': 'Brak', '1': 'Niedawny/Aktywny', '2': 'Odległy/Nieaktywny', '9': 'Brak danych'}",Historia Zdrowia
BIPOLAR,Zaburzenia afektywne dwubiegunowe,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
SCHIZ,Schizofrenia,"{'0': 'Brak', '1': 'Niedawna/Aktywna', '2': 'Odległa/Nieaktywna', '9': 'Brak danych'}",Historia Zdrowia
DEP2YRS,Aktywna depresja w ciągu ostatnich dwóch lat,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Historia Zdrowia
DEPOTHR,Epizody depresyjne sprzed ponad dwóch lat,"{'0': 'Nie wystąpiły', '1': 'Tak, były obecne', '9': 'Brak danych'}",Historia Zdrowia
ANXIETY,Zaburzenia lękowe,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
OCD,Zaburzenia obsesyjno-kompulsyjne (OCD),"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
NPSYDEV,"Zaburzenia neurorozwojowe (np., zaburzenia ze spektrum autyzmu, zespół nadpobudliwości psychoruchowej z deficytem uwagi [ADHD], dysleksja)","{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
PSYCDIS,Inne choroby psychiatryczne,"{'0': 'Brak', '1': 'Niedawne/Aktywne', '2': 'Odległe/Nieaktywne', '9': 'Brak danych'}",Historia Zdrowia
NACCTBI,Historia urazowych uszkodzeń mózgu (TBI),"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Historia Zdrowia
HEIGHT,Wysokość pacjenta (cm),{'zakres': '90 - 225'},Cechy Fizyczne
WEIGHT,Masa pacjenta (kg),{'zakres': '20 - 185'},Cechy Fizyczne
NACCBMI,Indeks Masy Ciała (BMI),{'zakres': '10 - 100'},Cechy Fizyczne
BPSYS,"Ciśnienie krwi pacjenta (na siedząco), skurczowe",{'zakres': '70 - 230'},Cechy Fizyczne
BPDIAS,"Ciśnienie krwi pacjenta (na siedząco), rozkurczowe",{'zakres': '30 - 140'},Cechy Fizyczne
HRATE,Spoczynkowe tętno krwi pacjenta (puls),{'zakres': '33 - 160'},Cechy Fizyczne
VISION,"Czy pacjent widzi funkcjonalnie prawidłowo bez okularów lub soczewek?","{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Cechy Fizyczne
VISCORR,Czy pacjent nosi normalnie soczewki korekcyjne?,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Cechy Fizyczne
VISWCORR,"Jeżeli pacjent normalnie nosi soczewki korekcyjne, czy wzrok pacjenta jest w nich funkcjonalnie normalny?","{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania, pacjent nie nosi soczewek korekcyjnych', '9': 'Brak danych'}",Cechy Fizyczne
HEARING,"Czy słuch pacjenta jest funkcjonalnie normalny bez aparat(ów) słuchowego(-ych)?","{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Cechy Fizyczne
HEARAID,Czy pacjent nosi normalnie aparat(y) słuchowy(-e)?,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Cechy Fizyczne
HEARWAID,"Jeżeli pacjent nosi normalnie aparat(y) słuchowy(-e), czy razem z nim(i) słuch pacjenta jest funkcjonalnie normalny?","{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania, pacjent nie nosi aparat(ów) słuchowego(-ych)', '9': 'Brak danych'}",Cechy Fizyczne
ABRUPT,Gwałtowny początek (ocena stanu w skali HIS),"{'0': 'Brak', '2': 'Obecny'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
STEPWISE,Stopniowe pogorszenie (ocena stanu w skali HIS),"{'0': 'Brak', '1': 'Obecne'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
SOMATIC,Skargi somatyczne,"{'0': 'Brak', '1': 'Obecne'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
EMOT,Nietrzymanie afektu,"{'0': 'Brak', '1': 'Obecne'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
HXHYPER,Dodatni wywiad w kierunku nadciśnienia,"{'0': 'Brak', '1': 'Obecny'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
